Setor,Data,Disponibilidade_Meta,Disponibilidade_Real,Desempenho_Meta,Desempenho_Real,Qualidade_Meta,Qualidade_Real,OeeVisaoGeral_Meta,OeeVisaoGeral_Real,ProducaoReal_Meta,ProducaoReal_Real,CapacidadeReal_Meta,CapacidadeReal_Real,CapacidadeInstalada_Meta,CapacidadeInstalada_Real,UtilizacaoCapacidade_Meta,UtilizacaoCapacidade_Real,CaixasNaoProduzidas_Meta,CaixasNaoProduzidas_Real,HorasAdicionaisAoProcesso_Meta,HorasAdicionaisAoProcesso_Real,HorasParadas_Meta,HorasParadas_Real,HorasReais_Meta,HorasReais_Real,DescartesCaixas_Meta,DescartesCaixas_Real,DescartesTampas_Meta,DescartesTampas_Real,DescartesEmbalagens_Meta,DescartesEmbalagens_Real,Refugo_Meta,Refugo_Real,SegundaLinha_Meta,SegundaLinha_Real
IMPRESSÃO,12/12/2019,,1.00,,0.81,,0.99,,0.80,4676.80,19500.00,,0.81,,24176.80,,,10758.68,,0h,0,10.758,68,0,3,89,8:45,,,,,,,,0.01,,
CORTE DE A4,13/12/2019,,0.77,,0.83,,-∞,,-∞,20.60,100.00,,0.63,,157.50,,,35.70,36.90,0h,0,35,70,2:03,2,59,6:42,,,,,,∞,,0.03,,0.01
CORTE DE BOBINAS,13/12/2019,,1.00,,0.84,,0.95,,0.80,8.93,48.00,,0.84,,56.93,,,17.90,,0h,0,17,90,0,2,75,8:45,,,,,,,,0.05,,
CORTE DE A4,16/12/2019,,1.00,,0.76,,-∞,,-∞,38.50,119.00,,0.76,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,∞,,0.02,,0.01
CORTE DE BOBINAS,16/12/2019,,1.00,,1.36,,0.98,,1.34,-28.66,108.00,,1.36,,79.34,,,24.94,,0h,0,24,94,0,2,75,8:45,,,,,,,,0.02,,
CORTE DE A4,17/12/2019,,1.00,,0.71,,-∞,,-∞,45.50,112.00,,0.71,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,∞,,0.02,,0.01
CORTE DE BOBINAS,17/12/2019,,1.00,,0.86,,0.96,,0.82,11.22,67.00,,0.86,,78.22,,,24.59,,0h,0,24,59,0,2,75,8:45,,,,,,,,0.04,,
IMPRESSÃO,17/12/2019,,1.00,,0.57,,0.99,,0.57,11649.28,15500.00,,0.57,,27149.28,,,12081.43,,0h,0,12.081,43,0,3,89,8:45,,,,,,,,0.01,,
CORTE DE A4,18/12/2019,,1.00,,0.63,,-∞,,-∞,57.50,100.00,,0.63,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,∞,,0.02,,
CORTE DE BOBINAS,18/12/2019,,1.00,,1.14,,0.99,,1.13,-12.09,99.00,,1.14,,86.91,,,27.33,,0h,0,27,33,0,2,75,8:45,,,,,,,,0.01,,
